order_id,order_name,date,flight_total_cost,campaign_total_cost,total_sales,total_purchases,impressions,clicks
,+orderName+,1/1/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/2/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/3/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/4/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/5/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/6/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/7/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/8/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/9/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/10/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/11/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/12/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/13/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/14/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/15/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/16/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/17/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/18/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/19/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/20/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/21/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/22/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/23/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/24/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/25/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/26/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/27/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/28/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/29/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/30/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,1/31/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/1/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/2/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/3/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/4/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/5/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/6/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/7/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/8/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/9/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/10/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/11/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/12/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,2/13/2026,843.000000,843.000000,5151.00,12,164965,724
,+orderName+,2/14/2026,2361.000000,2361.000000,11577.00,21,817468,1009
,+orderName+,2/15/2026,2280.000000,2280.000000,14127.00,30,554153,410
,+orderName+,2/16/2026,2261.000000,2261.000000,14334.00,41,534109,414
,+orderName+,2/17/2026,2153.000000,2153.000000,18524.00,38,492201,360
,+orderName+,2/18/2026,2249.000000,2249.000000,31441.00,64,473727,283
,+orderName+,2/19/2026,2239.000000,2239.000000,18396.00,132,986570,472
,+orderName+,2/20/2026,2204.000000,2204.000000,34935.00,137,720742,367
,+orderName+,2/21/2026,2213.000000,2213.000000,13403.00,67,1058039,268
,+orderName+,2/22/2026,2170.000000,2170.000000,11296.00,83,674983,315
,+orderName+,2/23/2026,2214.000000,2214.000000,23271.00,117,657341,308
