order_id,order_name,date,flight_total_cost,campaign_total_cost,total_sales,total_purchases,impressions,clicks,new_to_brand_purchases,new_to_brand_product_sales
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/13/2026,842.89,842.89,5151.4,12,164965,724,10,5041.42
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/14/2026,2361.46,2361.46,11576.96,21,817468,1009,16,8417.13
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/15/2026,2280.29,2280.29,14126.84,30,554153,410,19,7582.44
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/16/2026,2260.97,2260.97,14333.8,41,534109,414,29,9612.87
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/17/2026,2153.38,2153.38,18524.18,38,492201,360,29,14977.73
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/18/2026,2249.28,2249.28,31440.61,64,473727,283,46,22665.39
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/19/2026,2238.7,2238.7,18396.29,132,986570,472,81,8365.29
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/20/2026,2203.8,2203.8,34934.6,137,720742,367,78,21261.46
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/21/2026,2213.06,2213.06,13402.72,67,1058039,268,48,11476.46
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/22/2026,2169.79,2169.79,11296.04,83,674983,315,64,10578.25
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/23/2026,2213.75,2213.75,23271.25,117,657341,308,76,16597.91
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/24/2026,2188.08,2188.08,39923.59,116,529696,271,75,27019.73
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/25/2026,2213.62,2213.62,38184.33,160,471388,252,105,29321.28
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/26/2026,2200.15,2200.15,38322.82,130,557338,297,82,21511.23
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/27/2026,2200.09,2200.09,23243.9,102,755500,313,58,10207.42
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,2/28/2026,2219.79,2219.79,21929.51,78,746703,305,49,14748.37
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/1/2026,2190.24,2190.24,21902.13,90,850101,294,58,13873.15
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/2/2026,2200.1,2200.1,35989.03,129,976249,277,80,19510.7
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/3/2026,2182.44,2182.44,23279.71,138,769945,357,81,13123.98
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/4/2026,2178.77,2178.77,26415.21,108,605748,741,74,14268.88
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/5/2026,2094.54,2094.54,12381.46,94,827589,1086,64,7481.96
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/6/2026,2523.7,2523.7,11356.75,96,627558,652,64,7455.88
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/7/2026,1606.69,1606.69,15702.57,75,455236,470,56,11909.19
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/8/2026,1377.77,1377.77,6264.53,50,264980,315,38,4948.64
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/9/2026,2030.92,2030.92,17594.18,90,548981,414,60,12532.41
591693254985524232,Acer_US_Q126_DSP_Conversion_ROAS_AMD_NitroV_B0F195W823,3/10/2026,2399.48,2399.48,16424.48,100,601965,430,63,10961.14
